Common Name,Entrez ID,Gene Name,Prediction,Sorted Category
djlC,945253,Uncharacterized J domain-containing protein djlC,,Up Regulated
fhuC,945250,Iron(3+)-hydroxamate import ATP-binding protein fhuC,,Temporarly Up Regulated
serA,945258,D-3-phosphoglycerate dehydrogenase,,Down Regulated
adiA,948638,Biodegradative arginine decarboxylase,,Up Regulated
dcuS,948639,Sensor protein dcuS,,Temporarly Down Regulated
phoU,948233,Phosphate transport system protein phoU,,Down Regulated
melR,948637,Melibiose operon regulatory protein,,Up Regulated
glcA,947259,Glycolate permease glcA,,Temporarly Up Regulated
yhjA,948038,Probable cytochrome c peroxidase,,Up Regulated
miaB,945260,(Dimethylallyl)adenosine tRNA methylthiotransferase miaB,,Down Regulated
ubif,945261,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",,Up Regulated
yhjE,948032,Inner membrane metabolite transport protein yhjE,,Temporarly Up Regulated
yhjD,948033,Inner membrane protein yhjD,,Temporarly Up Regulated
eptA,948629,ECIAI1_4344; E2348C_4442; ECUMN_4646; ECS88_4616; b4114; ECED1_4848; ECIAI39_4538; EC55989_4605; ECDH10B_4306,,Ambiguous/Unsorted
yhjC,948035,Uncharacterized HTH-type transcriptional regulator yhjC,"['Transcription', ' RNA related', ' Type of regulation', 'transcription', 'regulation of transcription  DNA dependent']",Up Regulated
ibpA,948200,Small heat shock protein ibpA,,Up Regulated
yecJ,946388,Uncharacterized protein yecJ,[],Down Regulated
yidX,948202,Uncharacterized protein yidX,"[' Type of regulation', 'proteolysis', 'signal transduction']",Up Regulated
CYBB,947241,Cytochrome b561,,Down Regulated
torZ,946389,Trimethylamine-N-oxide reductase 2,,Ambiguous/Unsorted
rumA,947243,23S rRNA (uracil-5-)-methyltransferase rumA,,Temporarly Down Regulated
nudB,946383,Dihydroneopterin triphosphate pyrophosphatase,,Down Regulated
recF,948209,DNA replication and repair protein recF,,Temporarly Down Regulated
yecR,946386,Uncharacterized protein yecR,"['Inorganic ion transport and metabolism', ' Adaptation to stress', 'iron ion transport']",Down Regulated
cmoB,946387,tRNA (mo5U34)-methyltransferase,,Down Regulated
pgm,945271,Phosphoglucomutase,,Ambiguous/Unsorted
pitA,948009,Low-affinity inorganic phosphate transporter 1,,Down Regulated
seqA,945272,Protein seqA,,Temporarly Down Regulated
tsr,948884,Methyl-accepting chemotaxis protein I,,Up Regulated
yhiQ,948005,UPF0341 protein yhiQ,,Temporarly Up Regulated
rfbB,945276,"dTDP-glucose 4,6-dehydratase",,Down Regulated
erfK,945273,Protein erfK/srfK,,Temporarly Up Regulated
uspA,948007,Universal stress protein A,,Up Regulated
yhiI,948003,Uncharacterized protein yhiI,[' Protection'],Up Regulated
yahB,945278,Uncharacterized HTH-type transcriptional regulator yahB,"['Transcription', ' RNA related', ' Type of regulation', 'transcription', 'regulation of transcription  DNA dependent']",Temporarly Down Regulated
cusR,945003,Transcriptional regulatory protein cusR,,Down Regulated
yaeI,945002,Phosphodiesterase yaeI,,Down Regulated
opgG,945005,Glucans biosynthesis protein G,,Down Regulated
gyrB,948211,DNA gyrase subunit B,,Down Regulated
pal,945004,Peptidoglycan-associated lipoprotein,,Down Regulated
lacI,945007,Lactose operon repressor,,Up Regulated
trmJ,948610,tRNA (cytidine/uridine-2'-O-)-methyltransferase trmJ,,Temporarly Down Regulated
cysI,947231,Sulfite reductase [NADPH] hemoprotein beta-component,,Down Regulated
hisQ,947235,Histidine transport system permease protein hisQ,,Down Regulated
dnaN,948218,DNA polymerase III subunit beta,,Down Regulated
dnaA,948217,Chromosomal replication initiator protein dnaA,,Down Regulated
rpmH,948216,50S ribosomal protein L34,,Down Regulated
yidC,948214,Inner membrane protein oxaA,,Down Regulated
osmY,948895,Osmotically-inducible protein Y,,Temporarly Up Regulated
asnB,945281,Asparagine synthetase B [glutamine-hydrolyzing],,Down Regulated
fhuF,948891,Ferric iron reductase protein fhuF,,Temporarly Up Regulated
flhA,946390,Flagellar biosynthesis protein flhA,,Down Regulated
ybfF,945288,Esterase ybfF,,Ambiguous/Unsorted
nagA,945289,N-acetylglucosamine-6-phosphate deacetylase,,Ambiguous/Unsorted
yjjG,948899,5'-nucleotidase yjjG,,Temporarly Down Regulated
mrr,948898,Mrr restriction system protein,,Temporarly Up Regulated
prfC,948897,Peptide chain release factor 3,,Down Regulated
yhjX,948066,Inner membrane protein yhjX,,Up Regulated
dppC,948064,Dipeptide transport system permease protein dppC,,Down Regulated
valV,946170,c5541; Z2692; UTI89_C1856; ECDH10B_1799; b1665; E2348C_tRNA31; ECs5461,,Temporarly Down Regulated
eptB,948068,b3546; ECS88_3965; ECIAI39_4054; EC55989_3997; E2348C_3793; ECED1_4224; ECUMN_4058; ECDH10B_3725; ECIAI1_3705,,Temporarly Down Regulated
yfeA,946864,Uncharacterized protein yfeA,"['Signal transduction mechanisms', ' Type of regulation', 'two component signal transduction system  phosphorelay ', 'regulation of transcription  DNA dependent']",Temporarly Down Regulated
pykF,946179,Pyruvate kinase I; Pyruvate kinase,,Temporarly Up Regulated
glk,946858,Glucokinase,,Up Regulated
lpp,946175,Major outer membrane lipoprotein,,Down Regulated
ydhR,946177,Putative monooxygenase ydhR,,Down Regulated
ydgA,946172,Protein ydgA,,Temporarly Up Regulated
ynhG,946174,Uncharacterized protein ynhG,[],Temporarly Up Regulated
sufE,946173,Cysteine desulfuration protein sufE,,Temporarly Up Regulated
gabD,948060,Succinate-semialdehyde dehydrogenase [NADP+],,Temporarly Up Regulated
yiaD,948075,Inner membrane lipoprotein yiaD,,Temporarly Up Regulated
glyQ,948079,Glycyl-tRNA synthetase alpha subunit,,Down Regulated
yiaA,948078,Inner membrane protein yiaA,,Up Regulated
ptsI,946879,Phosphoenolpyruvate-protein phosphotransferase,,Down Regulated
yfeK,946876,Uncharacterized protein yfeK,"['Defense mechanisms', ' Primary Active Transporters', ' Protection']",Up Regulated
cysK,946877,Cysteine synthase A; Cysteine synthase,,Down Regulated
ydhL,946168,Uncharacterized protein ydhL,"[' Metabolism of other compounds', 'purine nucleotide biosynthetic process']",Up Regulated
plsX,946165,Fatty acid/phospholipid synthesis protein plsX,,Down Regulated
nemA,946164,N-ethylmaleimide reductase,,Ambiguous/Unsorted
pdxY,946162,Pyridoxamine kinase,,Down Regulated
yiaG,948071,Uncharacterized HTH-type transcriptional regulator yiaG,"[' RNA related', ' Type of regulation', ' Adaptation to stress', 'transcription', 'regulation of transcription  DNA dependent', 'response to stress']",Temporarly Up Regulated
yiaF,948072,Uncharacterized protein yiaF,"['Carbohydrate transport and metabolism', ' Carbon compound utilization', 'phosphoenolpyruvate dependent sugar phosphotransferase system']",Down Regulated
yhjK,948048,c4341; EC55989_3976; ECDH10B_3706; APECO1_2919; ECIAI1_3680; b3529; ECIAI39_4032; ECED1_4207; ECS88_3943; ECUMN_4036; UTI89_C4061; Z4943; E2348C_3771,,Ambiguous/Unsorted
bcsZ,948046,Endoglucanase,,Down Regulated
bcsB,948045,Cyclic di-GMP-binding protein,,Down Regulated
ybeZ,948044,PhoH-like protein,,Temporarly Up Regulated
pdxK,946881,Pyridoxine kinase,,Up Regulated
kdgK,948041,2-dehydro-3-deoxygluconokinase,,Temporarly Up Regulated
cysU,946882,Sulfate transport system permease protein cysT,,Down Regulated
cysP,946883,Thiosulfate-binding protein,,Down Regulated
ptsH,946886,Phosphocarrier protein HPr,,Down Regulated
yfeS,946887,Uncharacterized protein yfeS,[],Down Regulated
cysM,946888,Cysteine synthase B; Cysteine synthase,,Down Regulated
rsxG,946158,Electron transport complex protein rnfG,,Down Regulated
leuE,946157,Leucine efflux protein,,Down Regulated
yhjJ,948040,Protein yhjJ,,Down Regulated
hdhA,946151,7-alpha-hydroxysteroid dehydrogenase,,Temporarly Up Regulated
murC,946153,UDP-N-acetylmuramate--L-alanine ligase,,Down Regulated
yhjV,948057,Inner membrane transport protein yhjV,,Temporarly Down Regulated
csiR,948055,Uncharacterized HTH-type transcriptional regulator ygaE,,Ambiguous/Unsorted
prpE,946891,Propionate--CoA ligase,,Up Regulated
cyoC,946897,Cytochrome o ubiquinol oxidase subunit 3,,Down Regulated
mntH,946899,Manganese transport protein mntH,,Up Regulated
uidA,946149,Beta-glucuronidase,,Up Regulated
rsxB,946146,Electron transport complex protein rnfB,,Temporarly Down Regulated
topB,946141,DNA topoisomerase 3,,Down Regulated
pntB,946144,NAD(P) transhydrogenase subunit beta,,Down Regulated
tqsA,946142,AI-2 transport protein tqsA,,Temporarly Down Regulated
fadL,946820,Long-chain fatty acid transport protein,,Temporarly Up Regulated
fecE,948819,Fe(3+) dicitrate transport ATP-binding protein fecE,,Down Regulated
dnaJ,944753,Chaperone protein dnaJ,,Down Regulated
dnaK,944750,Chaperone protein dnaK,,Temporarly Up Regulated
aroC,946814,Chorismate synthase,,Down Regulated
sixA,946815,Phosphohistidine phosphatase sixA,,Up Regulated
fecD,946816,Fe(3+) dicitrate transport system permease protein fecD,,Down Regulated
insB,944743,Insertion element IS1 2/3 protein insB; Insertion element IS1 2/3/4 protein insA; Insertion element IS1 protein insA; Insertion element IS1 4 protein insB; Insertion element IS1 1/5/6 protein insB,,Ambiguous/Unsorted
sspA,944744,Stringent starvation protein A,,Down Regulated
nfrA,944741,Bacteriophage N4 adsorption protein A,,Ambiguous/Unsorted
efeO,945603,UPF0409 protein ycdO,,Temporarly Up Regulated
putP,945602,Sodium/proline symporter,,Down Regulated
yceA,945601,UPF0176 protein yceA,,Down Regulated
ypfG,946828,Uncharacterized protein ypfG,"['Transcription', ' RNA related', ' Type of regulation', 'transcription', 'regulation of transcription  DNA dependent']",Temporarly Down Regulated
evgS,946844,Sensor protein evgS; Sensor protein,,Temporarly Down Regulated
BAX,948089,Protein bax,,Temporarly Down Regulated
ydiI,946190,Esterase ydiI,,Down Regulated
malS,948088,Alpha-amylase,,Down Regulated
sapB,946191,Peptide transport system permease protein sapB,,Temporarly Up Regulated
xylR,948086,Xylose operon regulatory protein,,Up Regulated
ygcE,946193,Uncharacterized sugar kinase ygcE,"[' Central intermediary metabolism', 'carbohydrate metabolic process']",Temporarly Up Regulated
yiaJ,948084,HTH-type transcriptional regulator yiaJ,,Ambiguous/Unsorted
ydiH,946194,Uncharacterized protein ydiH,['proteolysis'],Temporarly Down Regulated
trxA,948289,Thioredoxin-1,,Temporarly Down Regulated
yafE,946197,Uncharacterized protein yafE,"['Amino acid transport and metabolism', ' Building block biosynthesis', 'amino acid biosynthetic process']",Ambiguous/Unsorted
glyS,948080,Glycyl-tRNA synthetase beta subunit,,Down Regulated
ilvY,948284,HTH-type transcriptional regulator ilvY,,Temporarly Down Regulated
rstA,946199,Transcriptional regulatory protein rstA,,Down Regulated
ilvL,948283,IlvGMEDA operon leader peptide,,Temporarly Up Regulated
dsdA,946837,D-serine dehydratase; D-serine dehydratase 1,,Ambiguous/Unsorted
fecB,946838,Fe(3+) dicitrate-binding periplasmic protein,,Temporarly Up Regulated
fecI,946839,Probable RNA polymerase sigma factor fecI; RNA polymerase sigma factor,,Up Regulated
yjhP,946851,Uncharacterized protein yjhP,['Replication  recombination and repair'],Up Regulated
yfeC,946857,Uncharacterized protein yfeC,[],Up Regulated
ypeC,946855,Uncharacterized protein ypeC,['Energy production and conversion'],Temporarly Up Regulated
rhlB,948290,ATP-dependent RNA helicase rhlB,,Down Regulated
gpp,948291,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase",,Down Regulated
yjjP,948812,Inner membrane protein yjjP,,Ambiguous/Unsorted
rep,948292,ATP-dependent DNA helicase rep,,Down Regulated
wzyE,948293,Putative ECA polymerase,,Down Regulated
ydhZ,946180,Uncharacterized protein ydhZ,[],Temporarly Up Regulated
rffH,948299,Glucose-1-phosphate thymidylyltransferase; Glucose-1-phosphate thymidylyltransferase 2,,Down Regulated
sufS,946185,Cysteine desulfurase,,Temporarly Up Regulated
ydiK,946183,UPF0118 inner membrane protein ydiK,,Ambiguous/Unsorted
insG,948805,Transposase insG for insertion sequence element IS4,,Up Regulated
yneE,946188,UPF0187 protein yneE,,Down Regulated
wzxE,948294,Protein wzxE,,Down Regulated
hyi,946186,Hydroxypyruvate isomerase,,Ambiguous/Unsorted
yjhB,948807,Putative metabolite transport protein yjhB,,Up Regulated
rffA,948296,Lipopolysaccharide biosynthesis protein rffA,,Down Regulated
lpcA,949134,Phosphoheptose isomerase,,Ambiguous/Unsorted
acpH,949132,Acyl carrier protein phosphodiesterase,,Up Regulated
secD,949133,Protein-export membrane protein secD,,Down Regulated
tgt,949130,Queuine tRNA-ribosyltransferase,,Down Regulated
malZ,949131,Maltodextrin glucosidase,,Down Regulated
puuA,946202,Gamma-glutamylputrescine synthetase,,Down Regulated
trpA,946204,Tryptophan synthase alpha chain,,Down Regulated
leuD,945642,3-isopropylmalate dehydratase small subunit,,Down Regulated
yadD,944781,Uncharacterized protein yadD,"['Replication  recombination and repair', 'DNA recombination']",Temporarly Up Regulated
ydjM,945644,Inner membrane protein ydjM,,Up Regulated
araC,944780,Arabinose operon regulatory protein,,Up Regulated
ydiE,946205,Uncharacterized protein ydiE,"['Amino acid transport and metabolism', ' Building block biosynthesis', 'metabolic process', 'biosynthetic process', 'aromatic amino acid family biosynthetic process']",Up Regulated
flgL,945646,Flagellar hook-associated protein 3,,Down Regulated
ydiA,946207,Uncharacterized protein yuaU; Putative phosphotransferase ydiA,[],Ambiguous/Unsorted
ppsR,946207,Uncharacterized protein yuaU; Putative phosphotransferase ydiA,,Ambiguous/Unsorted
flgG,945647,Flagellar basal-body rod protein flgG,,Down Regulated
baeR,946605,Transcriptional regulatory protein baeR,,Up Regulated
ubiG,946607,3-demethylubiquinone-9 3-methyltransferase,,Down Regulated
rffE,944789,UDP-N-acetylglucosamine 2-epimerase,,Temporarly Down Regulated
ydiB,946200,Quinate/shikimate dehydrogenase,,Temporarly Down Regulated
nrdA,946612,Ribonucleoside-diphosphate reductase; Ribonucleoside-diphosphate reductase 1 subunit alpha,,Down Regulated
ybiS,945441,Uncharacterized protein ybiS,['phosphoenolpyruvate dependent sugar phosphotransferase system'],Ambiguous/Unsorted
gyrA,946614,DNA gyrase subunit A,,Down Regulated
hicB,946001,Uncharacterized HTH-type transcriptional regulator ydcQ,,Up Regulated
ydcQ,946001,Uncharacterized HTH-type transcriptional regulator ydcQ,['Coenzyme transport and metabolism'],Up Regulated
fabH,946003,3-oxoacyl-[acyl-carrier-protein] synthase 3,,Down Regulated
gltJ,945443,Glutamate/aspartate transport system permease protein gltJ,,Down Regulated
ydcR,946004,Uncharacterized HTH-type transcriptional regulator ydcR,[],Up Regulated
flgF,945639,Flagellar basal-body rod protein flgF,,Down Regulated
yceF,945631,Maf-like protein yceF 1; Maf-like protein yceF,,Up Regulated
yniC,945632,Phosphatase yniC,,Temporarly Down Regulated
tolB,945429,Protein tolB,,Down Regulated
ydiU,946219,UPF0061 protein ydiU,,Down Regulated
pspD,945635,Phage shock protein D,,Up Regulated
folA,944790,Dihydrofolate reductase; Dihydrofolate reductase type 1,,Temporarly Up Regulated
flgE,945636,Flagellar hook protein flgE,,Down Regulated
yaaH,944792,Inner membrane protein yaaH,,Ambiguous/Unsorted
flgN,945634,Flagella synthesis protein flgN,,Down Regulated
murE,944791,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",,Down Regulated
aceF,944794,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,,Down Regulated
setA,944793,Sugar efflux transporter A,,Temporarly Down Regulated
leuB,944798,3-isopropylmalate dehydrogenase,,Down Regulated
otsB,946406,Trehalose-phosphate phosphatase,,Up Regulated
ftsI,944799,Peptidoglycan synthetase ftsI,,Down Regulated
yncB,946012,Putative NADP-dependent oxidoreductase yncB,,Ambiguous/Unsorted
ycjG,946013,Z2450; ECUMN_1620; ECED1_1533; ECDH10B_1444; b1325; UTI89_C1596; E2348C_1518; ECIAI1_1350; c1797; APECO1_478; ECS88_1467; ECIAI39_1677; EC55989_1489,,Temporarly Down Regulated
yccA,946016,Inner membrane protein yccA,,Down Regulated
ybiJ,945433,Uncharacterized protein ybiJ,[],Up Regulated
araB,946017,Ribulokinase,,Up Regulated
glnQ,945435,Glutamine transport ATP-binding protein glnQ,,Down Regulated
yfcA,946808,UPF0721 transmembrane protein yfcA,,Down Regulated
csgC,945623,Putative curli production protein csgC,,Down Regulated
yfcL,946804,Uncharacterized protein yfcL,"['Cell wall membrane envelope biogenesis', 'amino acid biosynthetic process', 'aromatic amino acid family biosynthetic process']",Down Regulated
ylbG,946803,b0502; ECDH10B_0458,,Down Regulated
ribD,945620,Riboflavin biosynthesis protein ribD,,Down Regulated
glnP,945621,Glutamine transport system permease protein glnP,,Temporarly Down Regulated
dapB,944762,Dihydrodipicolinate reductase,,Down Regulated
ileS,944761,Isoleucyl-tRNA synthetase,,Down Regulated
hcaD,945427,3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component,,Temporarly Up Regulated
mepA,946812,Penicillin-insensitive murein endopeptidase,,Down Regulated
ybiH,945421,Uncharacterized HTH-type transcriptional regulator ybiH,"['Defense mechanisms', ' Primary Active Transporters']",Ambiguous/Unsorted
exbB,945420,Biopolymer transport protein exbB,,Down Regulated
cyoB,945615,Ubiquinol oxidase subunit 1,,Down Regulated
ndk,945611,Nucleoside diphosphate kinase,,Temporarly Down Regulated
msyB,945612,Acidic protein msyB,,Temporarly Up Regulated
rbbA,947998,Uncharacterized ABC transporter ATP-binding protein yhiH,,Temporarly Up Regulated
carB,944775,Carbamoyl-phosphate synthase large chain,,Down Regulated
ftsA,944778,Cell division protein ftsA,,Down Regulated
nikR,947995,Nickel-responsive regulator,,Temporarly Up Regulated
sspB,944774,Stringent starvation protein B,,Down Regulated
kefC,944773,Glutathione-regulated potassium-efflux system protein kefC,,Ambiguous/Unsorted
rpmD,947797,50S ribosomal protein L30,,Down Regulated
secY,947799,Preprotein translocase subunit secY; Preprotein translocase secY subunit,,Down Regulated
rplO,947798,50S ribosomal protein L15,,Down Regulated
rpsD,947793,30S ribosomal protein S4,,Down Regulated
